id,communitynumber_bfs,zip_type,zipcode,additional_digit,g_zipcode,name_short,name,state_id/id,lang,lang2,post_delivery_through,valid_from,zip_post_delivery,sort,country_id/id,onrp
city_217,5523,10,1055,00,1055,Froideville,Froideville,bt_ch_state.state_VD,2,,217,19860521,105500,1,base.ch,217
city_219,5693,10,1410,00,1410,Thierrens,Thierrens,bt_ch_state.state_VD,2,,7661,19890601,151060,1,base.ch,219
city_221,5584,10,1066,00,1066,Epalinges,Epalinges,bt_ch_state.state_VD,2,,130,19981019,100060,1,base.ch,221
city_222,5611,10,1073,00,1073,Savigny,Savigny,bt_ch_state.state_VD,2,,789,19930721,107200,1,base.ch,222
city_223,5806,10,1083,00,1083,Mézières VD,Mézières VD,bt_ch_state.state_VD,2,,8365,19960806,160760,1,base.ch,223
city_224,5581,10,1092,00,1092,Belmont-Lausanne,Belmont-sur-Lausanne,bt_ch_state.state_VD,2,,130,19960424,100060,1,base.ch,224
city_225,5606,20,1093,00,1093,La Conversion,La Conversion,bt_ch_state.state_VD,2,,7649,19860521,109560,1,base.ch,225
city_226,5588,10,1094,00,1094,Paudex,Paudex,bt_ch_state.state_VD,2,,7649,19860521,109560,1,base.ch,226
city_227,5606,10,1095,00,1095,Lutry,Lutry,bt_ch_state.state_VD,2,,7649,19960610,109560,1,base.ch,227
city_228,5613,10,1096,00,1096,Cully,Cully,bt_ch_state.state_VD,2,,7649,19860521,109560,1,base.ch,228
city_229,5613,20,1097,00,1097,Riex,Riex,bt_ch_state.state_VD,2,,7649,20000515,109560,1,base.ch,229
city_230,5613,20,1098,00,1098,Epesses,Epesses,bt_ch_state.state_VD,2,,7649,19860521,109560,1,base.ch,230
city_233,5804,20,1058,00,1058,Villars-Tiercelin,Villars-Tiercelin,bt_ch_state.state_VD,2,,7670,19880529,104060,1,base.ch,233
city_234,5804,20,1059,00,1059,Peney-le-Jorat,Peney-le-Jorat,bt_ch_state.state_VD,2,,243,19880529,108800,1,base.ch,234
city_235,5804,20,1061,00,1061,Villars-Mendraz,Villars-Mendraz,bt_ch_state.state_VD,2,,243,19990729,108800,1,base.ch,235
city_236,5804,20,1062,00,1062,Sottens,Sottens,bt_ch_state.state_VD,2,,243,19990609,108800,1,base.ch,236
city_237,5693,20,1063,00,1063,Chapelle-s-Moudon,Chapelle-sur-Moudon,bt_ch_state.state_VD,2,,7661,19890818,151060,1,base.ch,237
city_238,5693,20,1410,05,1410,St-Cierges,St-Cierges,bt_ch_state.state_VD,2,,7661,19880529,151060,1,base.ch,238
city_239,5611,20,1073,02,1073,Mollie-Margot,Mollie-Margot,bt_ch_state.state_VD,2,,789,19880529,107200,1,base.ch,239
city_240,5799,20,1080,00,1080,Les Cullayes,Les Cullayes,bt_ch_state.state_VD,2,,8365,19880529,160760,1,base.ch,240
city_241,5792,10,1081,00,1081,Montpreveyres,Montpreveyres,bt_ch_state.state_VD,2,,243,19880529,108800,1,base.ch,241
city_242,5785,20,1082,00,1082,Corcelles-le-Jorat,Corcelles-le-Jorat,bt_ch_state.state_VD,2,,243,20010907,108800,1,base.ch,242
city_243,5798,10,1088,00,1088,Ropraz,Ropraz,bt_ch_state.state_VD,2,,243,19880529,108800,1,base.ch,243
city_244,5806,10,1084,00,1084,Carrouge VD,Carrouge VD,bt_ch_state.state_VD,2,,8365,19960806,160760,1,base.ch,244
city_245,5803,20,1085,00,1085,Vulliens,Vulliens,bt_ch_state.state_VD,2,,8365,19880529,160760,1,base.ch,245
city_246,5692,20,1509,00,1509,Vucherens,Vucherens,bt_ch_state.state_VD,2,,7661,19880529,151060,1,base.ch,246
city_247,5688,20,1510,02,1510,Syens,Syens,bt_ch_state.state_VD,2,,7661,19991021,151060,1,base.ch,247
city_248,5806,20,1076,00,1076,Ferlens VD,Ferlens VD,bt_ch_state.state_VD,2,,8365,19960508,160760,1,base.ch,248
city_249,5799,10,1077,00,1077,Servion,Servion,bt_ch_state.state_VD,2,,8365,19960806,160760,1,base.ch,249
city_250,5788,20,1078,00,1078,Essertes,Essertes,bt_ch_state.state_VD,2,,8365,19880529,160760,1,base.ch,250
city_251,2061,20,1673,03,1673,Auboranges,Auboranges,bt_ch_state.state_FR,2,,7663,19930928,168060,1,base.ch,251
city_254,5642,20,1110,00,1110,Morges,Morges,bt_ch_state.state_VD,2,,6256,19860521,111060,1,base.ch,254
city_259,5634,10,1112,00,1112,Echichens,Echichens,bt_ch_state.state_VD,2,,6256,19880529,111060,1,base.ch,259
